key,zh-CN,en
card.23204029.desc,"「假面英雄」怪兽×2
这个卡名在规则上也当作「元素英雄」卡使用。这张卡不用融合召唤不能特殊召唤。
①：只要这张卡在怪兽区域存在，这张卡的属性也当作「光」使用。
②：自己·对方回合1次，以场上1张表侧表示卡为对象才能发动。那张卡的效果直到回合结束时无效。","2 ""Masked HERO"" monsters
(This card is always treated as an ""Elemental HERO"" card.)
Must be Fusion Summoned and cannot be Special Summoned by other ways. While face-up on the field, this card is also LIGHT-Attribute. Once per turn, during either player's turn: You can target 1 face-up card on the field; negate that target's effects until the end of this turn."
card.23434538.name,增殖的G,"Maxx ""C"""
card.23434538.types,[怪兽|效果] 昆虫/地,[Monster|Effect] Insect/EARTH
card.23434538.desc,"这个卡名的效果1回合只能使用1次。
①：自己·对方回合，把这张卡从手卡送去墓地才能发动。这个回合中，以下效果适用。
●每次对方把怪兽特殊召唤，自己抽1张。","During either player's turn: You can send this card from your hand to the Graveyard; this turn, each time your opponent Special Summons a monster(s), immediately draw 1 card. You can only use 1 ""Maxx ""C"""" per turn."
card.24010609.name,闪刀机关-多任务战刀机,Sky Striker Mecha Modules - Multirole
card.24010609.types,[魔法|永续],[Spell|Continuous]
card.24010609.desc,"①：1回合1次，以自己场上1张其他卡为对象才能发动。这个回合，对方不能对应自己的魔法卡的发动把魔法·陷阱·怪兽的效果发动。并且，再把作为对象的卡送去墓地。
②：自己·对方的结束阶段才能发动。把最多有这个回合这张卡表侧表示存在期间自己发动的「闪刀」魔法卡数量的「闪刀」魔法卡从自己墓地到自己场上盖放（同名卡最多1张）。这个效果盖放的卡从场上离开的场合除外。","Once per turn: You can target 1 other card you control; send that card to the GY, also your opponent cannot activate cards or effects in response to your Spell Card activations for the rest of this turn (even if this card leaves the field). (You can only gain the previous effect once per turn.) Once per turn, during the End Phase: You can Set ""Sky Striker"" Spells with different names from your GY, up to the number of ""Sky Striker"" Spell Cards you activated this turn while this card was face-up on your field, but banish them when they leave the field."
card.24094653.name,融合,Polymerization
card.24094653.types,[魔法],[Spell]
card.24094653.desc,①：自己的手卡·场上的怪兽作为融合素材，把1只融合怪兽融合召唤。,"Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material."
card.24224830.name,墓穴的指名者,Called by the Grave
card.24224830.types,[魔法|速攻],[Spell|Quick-Play]
card.24224830.desc,①：以对方墓地1只怪兽为对象才能发动。那只怪兽除外。直到下个回合的结束时，这个效果除外的怪兽以及原本卡名和那只怪兽相同的怪兽的效果无效化。,"Target 1 monster in your opponent's GY; banish it, and if you do, until the end of the next turn, its effects are negated, as well as the activated effects and effects on the field of monsters with the same original name."
card.24299458.name,禁忌的一滴,Forbidden Droplet
card.24299458.types,[魔法|速攻],[Spell|Quick-Play]
card.24299458.desc,"这个卡名的卡在1回合只能发动1张，对方不能对应这张卡的发动把原本种类（怪兽·魔法·陷阱）和为这张卡发动而送去墓地的卡相同的卡的效果发动。
①：从自己的手卡·场上把其他卡任意数量送去墓地才能发动。选那个数量的对方场上的效果怪兽。那些怪兽直到回合结束时攻击力变成一半，效果无效化。","Send any number of other cards from your hand and/or field to the GY; choose that many Effect Monsters your opponent controls, and until the end of this turn, their ATK is halved, also their effects are negated. In response to this card's activation, your opponent cannot activate cards, or the effects of cards, with the same original type (Monster/Spell/Trap) as the cards sent to the GY to activate this card. You can only activate 1 ""Forbidden Droplet"" per turn."
card.25072579.name,试号闪刀姬-天津,Prototype Sky Striker Ace - Amatsu
card.25072579.types,[怪兽|效果|连接] 机械/暗,[Monster|Effect|Link] Machine/DARK
card.25072579.desc,"「闪刀姬」怪兽1只
自己对「试号闪刀姬-天津」1回合只能有1次特殊召唤，那些①②的效果1回合各能使用1次。
①：对方场上的攻击力2000以上的怪兽把效果发动时才能发动。那个效果变成「对方场上1只「闪刀姬」连接怪兽破坏」。
②：这张卡和对方怪兽进行战斗的攻击宣言时，以自己场上1只「闪刀姬」怪兽和对方场上1张卡为对象才能发动。那些卡破坏。","1 ""Sky Striker Ace"" monster
You can only Special Summon ""Prototype Sky Striker Ace - Amatsu(s)"" once per turn. When a monster your opponent controls with 2000 or more ATK activates its effect (Quick Effect): You can make the activated effect become ""Destroy 1 ""Sky Striker Ace"" Link Monster your opponent controls"". When an attack is declared involving this card and an opponent's monster: You can target 1 ""Sky Striker Ace"" monster you control and 1 card your opponent controls; destroy them. You can only use each effect of ""Prototype Sky Striker Ace - Amatsu"" once per turn."
card.25311006.name,三战之才,Triple Tactics Talent
card.25311006.types,[魔法],[Spell]
card.25311006.desc,"这个卡名的卡在1回合只能发动1张。
①：这个回合的自己主要阶段对方是已把怪兽的效果发动的场合，可以从以下效果选择1个发动。
●自己抽2张。
●对方场上1只怪兽的控制权直到结束阶段得到。
●把对方手卡确认，选那之内的1张回到卡组。","If your opponent has activated a monster effect during your Main Phase this turn: Activate 1 of these effects;
● Draw 2 cards.
● Take control of 1 monster your opponent controls until the End Phase.
● Look at your opponent's hand, and choose 1 card from it to shuffle into the Deck.
You can only activate 1 ""Triple Tactics Talent"" per turn."
card.26077389.name,闪刀姬-零衣,Sky Striker Ace - Raye
card.26077389.types,[怪兽|效果] 战士/暗,[Monster|Effect] Warrior/DARK
card.26077389.desc,"这个卡名的①②的效果1回合各能使用1次。
①：自己·对方回合，把这张卡解放才能发动。从额外卡组把1只「闪刀姬」怪兽在额外怪兽区域特殊召唤。
②：这张卡在墓地存在的状态，自己场上的「闪刀姬」连接怪兽因对方的效果从场上离开的场合或者被战斗破坏的场合才能发动。这张卡特殊召唤。","(Quick Effect): You can Tribute this card; Special Summon 1 ""Sky Striker Ace"" monster from your Extra Deck to the Extra Monster Zone. While this card is in your GY, if a face-up ""Sky Striker Ace"" Link Monster you control is destroyed by battle, or leaves the field because of an opponent's card effect: You can Special Summon this card. You can only use each effect of ""Sky Striker Ace - Raye"" once per turn."
card.27780618.name,幻影英雄 仿生人,Vision HERO Vyon
card.27780618.types,[怪兽|效果] 战士/暗,[Monster|Effect] Warrior/DARK
card.27780618.desc,"这个卡名的①的效果1回合只能使用1次。
①：这张卡召唤·特殊召唤的场合才能发动。从卡组把1只「英雄」怪兽送去墓地。
②：1回合1次，从自己墓地把1只「英雄」怪兽除外才能发动。从卡组把1张「融合」加入手卡。","If this card is Normal or Special Summoned: You can send 1 ""HERO"" monster from your Deck to the GY. You can only use this effect of ""Vision HERO Vyon"" once per turn. Once per turn: You can banish 1 ""HERO"" monster from your GY; add 1 ""Polymerization"" from your Deck to your hand."
card.32807848.name,增援,Reinforcement of the Army
card.32807848.types,[魔法],[Spell]
card.32807848.desc,①：从卡组把1只4星以下的战士族怪兽加入手卡。,Add 1 Level 4 or lower Warrior monster from your Deck to your hand.
card.32828466.name,唤醒你沉睡的元素英雄,Wake Up Your Elemental HERO
card.32828466.types,[怪兽|效果|融合] 战士/光,[Monster|Effect|Fusion] Warrior/LIGHT
card.32828466.desc,"「元素英雄」融合怪兽＋战士族怪兽1只以上
这张卡不用融合召唤不能特殊召唤。
①：这张卡的攻击力上升作为这张卡的融合素材的怪兽数量×300，同1次的战斗阶段中可以向怪兽作出最多有那之内的所用融合怪兽数量的攻击。
②：这张卡和怪兽进行战斗的伤害计算后发动。那只怪兽破坏，给与对方那个原本攻击力数值的伤害。
③：融合召唤的这张卡被破坏的场合发动。从手卡·卡组把1只战士族怪兽特殊召唤。","1 ""Elemental HERO"" Fusion Monster + 1+ Warrior monsters
Must be Fusion Summoned. Gains 300 ATK for each material used for its Summon. This card can make a number of attacks on monsters each Battle Phase, up to the number of Fusion Monsters used as material for its Summon. After damage calculation, if this card battled a monster: Destroy that monster, and if you do, inflict damage to your opponent equal to its original ATK. If this Fusion Summoned card is destroyed: Special Summon 1 Warrior monster from your hand or Deck."
card.33698022.name,月华龙 黑蔷薇,Black Rose Moonlight Dragon
card.33698022.types,[怪兽|效果|同调] 龙/光,[Monster|Effect|Synchro] Dragon/LIGHT
card.33698022.desc,"调整＋调整以外的怪兽1只以上
这张卡特殊召唤成功时或者对方场上有5星以上的怪兽特殊召唤时发动。选择对方场上1只特殊召唤的怪兽回到持有者手卡。「月华龙 黑蔷薇」的效果1回合只能使用1次。","1 Tuner + 1 or more non-Tuner monsters
If this card is Special Summoned, or a Level 5 or higher monster(s) is Special Summoned to your opponent's side of the field: Target 1 Special Summoned monster your opponent controls; return that target to the hand. You can only use this effect of ""Black Rose Moonlight Dragon"" once per turn."
card.34433770.name,闪刀亚式-双纽闪门,Sky Striker Special Maneuver - Lemnisgate!
card.34433770.types,[魔法|速攻],[Spell|Quick-Play]
card.34433770.desc,"这个卡名的①②的效果1回合各能使用1次。
①：以自己墓地的「闪刀姬」怪兽和「闪刀」魔法卡各相同数量为对象才能发动。那些卡回到卡组。那之后，可以让回去的卡每3张最多1张的场上的卡回到手卡。
②：这张卡在墓地存在的状态，自己场上有「闪刀」怪兽特殊召唤的场合，把这张卡除外才能发动。进行1只「闪刀姬」连接怪兽的连接召唤。","Target an equal number of ""Sky Striker Ace"" monsters and ""Sky Striker"" Spells in your GY; shuffle them into the Deck, then, for every 3 shuffled cards, you can return up to 1 card on the field to the hand. If a ""Sky Striker"" monster(s) is Special Summoned to your field, while this card is in your GY (except during the Damage Step): You can banish this card; immediately after this effect resolves, Link Summon 1 ""Sky Striker Ace"" Link Monster. You can only use each effect of ""Sky Striker Special Maneuver - Lemnisgate!"" once per turn."
card.35261759.name,强欲而贪欲之壶,Pot of Desires
card.35261759.types,[魔法],[Spell]
card.35261759.desc,"这个卡名的卡在1回合只能发动1张。
①：从自己卡组上面把10张卡里侧表示除外才能发动。自己从卡组抽2张。","Banish 10 cards from the top of your Deck, face-down; draw 2 cards. You can only activate 1 ""Pot of Desires"" per turn."
card.35269904.name,三战之号,Triple Tactics Thrust
card.35269904.types,[魔法],[Spell]
card.35269904.desc,"这个卡名的卡在1回合只能发动1张。
①：这个回合对方是已把怪兽的效果发动的场合才能发动。从卡组把「三战之号」以外的1张通常魔法·通常陷阱卡在自己场上盖放。这个效果盖放的卡在这个回合不能发动。对方场上有怪兽存在的场合，也能不盖放加入手卡。","If your opponent has activated a monster effect during this turn: Set 1 Normal Spell/Trap directly from your Deck, except ""Triple Tactics Thrust"", or if your opponent controls a monster, you can add it to your hand instead. That Set card cannot be activated this turn. You can only activate 1 ""Triple Tactics Thrust"" per turn."
card.37351133.name,闪刀姬-露世,Sky Striker Ace - Roze
card.37351133.types,[怪兽|效果] 战士/光,[Monster|Effect] Warrior/LIGHT
card.37351133.desc,"这个卡名的①②的效果1回合各能使用1次。
①：「闪刀姬-露世」以外的「闪刀姬」怪兽召唤·特殊召唤的场合才能发动。这张卡从手卡特殊召唤。
②：这张卡在墓地存在的状态，额外怪兽区域的对方怪兽被战斗破坏的场合或者因自己的卡的效果从场上离开的场合才能发动。这张卡特殊召唤。那之后，可以把对方场上1只表侧表示怪兽的效果直到回合结束时无效。","If a ""Sky Striker Ace"" monster(s) is Normal or Special Summoned, except ""Sky Striker Ace - Roze"" (except during the Damage Step): You can Special Summon this card from your hand. If an opponent's monster in the Extra Monster Zone is destroyed by battle, or leaves the field because of your card effect, while this card is in your GY: You can Special Summon this card, then you can negate the effects of 1 face-up monster your opponent controls, until the end of this turn. You can only use each effect of ""Sky Striker Ace - Roze"" once per turn."
card.38120068.name,抵价购物,Trade-In
card.38120068.types,[魔法],[Spell]
card.38120068.desc,①：从手卡丢弃1只8星怪兽才能发动。自己抽2张。,Discard 1 Level 8 monster; draw 2 cards.
card.38517737.name,青眼亚白龙,Blue-Eyes Alternative White Dragon
card.38517737.types,[怪兽|效果|特殊召唤] 龙/光,[Monster|Effect|Special Summon] Dragon/LIGHT
card.38517737.desc,"这张卡不能通常召唤。把手卡1只「青眼白龙」给对方观看的场合可以特殊召唤。这个方法的「青眼亚白龙」的特殊召唤1回合只能有1次。
①：这张卡的卡名只要在场上·墓地存在当作「青眼白龙」使用。
②：1回合1次，以对方场上1只怪兽为对象才能发动（这个效果发动的回合，这张卡不能攻击）。那只怪兽破坏。","Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by revealing ""Blue-Eyes White Dragon"" in your hand. You can only Special Summon ""Blue-Eyes Alternative White Dragon"" once per turn this way. This card's name becomes ""Blue-Eyes White Dragon"" while it is on the field or in the Graveyard. Once per turn: You can target 1 monster your opponent controls; destroy it. This card cannot attack the turn this effect is activated."
card.39030163.name,银河眼重铠光子龙,Galaxy-Eyes Full Armor Photon Dragon
card.39030163.types,[怪兽|效果|超量] 龙/光,[Monster|Effect|Xyz] Dragon/LIGHT
card.39030163.desc,"8星怪兽×3
这张卡也能在「银河眼重铠光子龙」以外的自己场上的「银河眼」超量怪兽上面重叠来超量召唤。
①：1回合1次，以这张卡最多2张装备卡为对象才能发动。那些卡在这张卡下面重叠作为超量素材。
②：1回合1次，把这张卡1个超量素材取除，以对方场上1张表侧表示的卡为对象才能发动。那张卡破坏。","3 Level 8 monsters
You can also Xyz Summon this card by using a ""Galaxy-Eyes"" Xyz Monster you control as material, except ""Galaxy-Eyes Full Armor Photon Dragon"". (Transfer its materials to this card.) Once per turn: You can target up to 2 Equip Cards equipped to this card; attach them to this card as material. Once per turn: You can detach 1 material from this card, then target 1 face-up card your opponent controls; destroy it."
card.39701395.name,调和的宝札,Cards of Consonance
card.39701395.types,[魔法],[Spell]
card.39701395.desc,①：从手卡丢弃1只攻击力1000以下的龙族调整才能发动。自己从卡组抽2张。,Discard 1 Dragon Tuner with 1000 or less ATK; draw 2 cards.
card.40044918.name,元素英雄 天空侠,Elemental HERO Stratos
card.40044918.types,[怪兽|效果] 战士/风,[Monster|Effect] Warrior/WIND
card.40044918.desc,"①：这张卡召唤·特殊召唤时，可以从以下效果选择1个发动。
●把最多有自己场上的其他的「英雄」怪兽数量的场上的魔法·陷阱卡破坏。
●从卡组把1只「英雄」怪兽加入手卡。","When this card is Normal or Special Summoned: You can activate 1 of these effects.
● Destroy Spells/Traps on the field, up to the number of ""HERO"" monsters you control, except this card.
● Add 1 ""HERO"" monster from your Deck to your hand."
card.40908371.name,苍眼银龙,Azure-Eyes Silver Dragon
card.40908371.types,[怪兽|效果|同调] 龙/光,[Monster|Effect|Synchro] Dragon/LIGHT
card.40908371.desc,"调整＋调整以外的通常怪兽1只以上
①：这张卡特殊召唤的场合发动。自己场上的全部龙族怪兽直到下个回合的结束时不会被效果破坏，双方直到下个回合的结束时不能把那些作为效果的对象。
②：自己准备阶段，以自己墓地1只通常怪兽为对象才能发动。那只怪兽特殊召唤。","1 Tuner + 1+ non-Tuner Normal Monsters
If this card is Special Summoned: Until the end of the next turn, neither player can target Dragon monsters you currently control with card effects, also they cannot be destroyed by card effects. Once per turn, during your Standby Phase: You can target 1 Normal Monster in your GY; Special Summon it."
card.41620959.name,龙之灵庙,Dragon Shrine
card.41620959.types,[魔法],[Spell]
card.41620959.desc,"这个卡名的卡在1回合只能发动1张。
①：从卡组把1只龙族怪兽送去墓地。这个效果送去墓地的怪兽是龙族通常怪兽的场合，可以再从卡组把1只龙族怪兽送去墓地。","Send 1 Dragon monster from your Deck to the GY, then, if that monster in your GY is a Dragon Normal Monster, you can send 1 more Dragon monster from your Deck to the GY. You can only activate 1 ""Dragon Shrine"" per turn."
card.42141493.name,欢聚友伴·茸茸长尾山雀,Mulcharmy Fuwalos
card.42141493.types,[怪兽|效果] 鸟兽/风,[Monster|Effect] Winged Beast/WIND
card.42141493.desc,"这张卡的效果发动的回合，自己只能有1次把这张卡以外的「欢聚友伴」怪兽的效果发动。
①：自己·对方回合，自己场上没有卡存在的场合，把这张卡从手卡丢弃才能发动。这个回合中，以下效果适用。
●每次对方从卡组·额外卡组把怪兽特殊召唤，自己抽1张。
●结束阶段，自己手卡比对方场上的卡数量＋6张要多的场合，那个相差数量的自己手卡随机回到卡组。","If you control no cards (Quick Effect): You can discard this card; apply these effects this turn.
● Each time your opponent Special Summons a monster(s) from the Deck and/or Extra Deck, immediately draw 1 card.
● Once, during this End Phase, if the number of cards in your hand is more than the number of cards your opponent controls +6, you must randomly shuffle cards from your hand into the Deck so the number in your hand equals the number your opponent controls +6.
You can only activate 1 other ""Mulcharmy"" monster effect, the turn you activate this effect."
card.45467446.name,白色灵龙,Dragon Spirit of White
card.45467446.types,[怪兽|效果] 龙/光,[Monster|Effect] Dragon/LIGHT
card.45467446.desc,"这个卡名在规则上也当作「青眼」卡使用。
①：这张卡只要在手卡·墓地存在，当作通常怪兽使用。
②：这张卡召唤·特殊召唤时，以对方场上1张魔法·陷阱卡为对象才能发动。那张卡除外。
③：自己·对方回合，对方场上有怪兽存在的场合，把这张卡解放才能发动。从手卡把1只「青眼白龙」特殊召唤。","(This card is always treated as a ""Blue-Eyes"" card.)
This card is treated as a Normal Monster while in the hand or GY. When this card is Normal or Special Summoned: You can target 1 Spell/Trap your opponent controls; banish it. If your opponent controls a monster (Quick Effect): You can Tribute this card; Special Summon 1 ""Blue-Eyes White Dragon"" from your hand."
card.45906428.name,奇迹融合,Miracle Fusion
card.45906428.types,[魔法],[Spell]
card.45906428.desc,①：自己的场上·墓地的怪兽作为融合素材除外，把1只「元素英雄」融合怪兽融合召唤。,"Fusion Summon 1 ""Elemental HERO"" Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your field or your GY."
card.48800175.name,龙觉醒旋律,The Melody of Awakening Dragon
card.48800175.types,[魔法],[Spell]
card.48800175.desc,①：丢弃1张手卡才能发动。把最多2只攻击力3000以上而守备力2500以下的龙族怪兽从卡组加入手卡。,Discard 1 card; add up to 2 Dragon monsters with 3000 or more ATK and 2500 or less DEF from your Deck to your hand.
card.49299410.name,嗤笑的黑山羊,The Black Goat Laughs
card.49299410.types,[陷阱],[Trap]
card.49299410.desc,"这个卡名的①②的效果1回合只能有1次使用其中任意1个。
①：宣言1个怪兽卡名才能发动。这个回合，双方不能把原本卡名和宣言的怪兽相同的怪兽从墓地以外特殊召唤。
②：把墓地的这张卡除外，宣言1个怪兽卡名才能发动。这个回合，双方不能把原本卡名和宣言的怪兽相同的怪兽的场上发动的效果发动。","Declare 1 Monster Card name; this turn, neither player can Special Summon monsters with that original name, except from the GY. You can banish this card from the GY, then declare 1 Monster Card name; this turn, neither player can activate the effects of monsters on the field with that original name. You can only use 1 ""The Black Goat Laughs"" effect per turn, and only once that turn."
card.50005218.name,闪刀空域-零区,Sky Striker Airspace - Area Zero
card.50005218.types,[魔法|场地],[Spell|Field]
card.50005218.desc,"这个卡名的①②的效果1回合各能使用1次。
①：以自己场上1张其他卡为对象才能发动。从自己卡组上面把3张卡翻开。可以从那之中选1张「闪刀」卡加入手卡。剩余回到卡组。「闪刀」卡被翻开的场合，再把作为对象的卡送去墓地。
②：这张卡被效果从场地区域送去墓地的场合才能发动。从卡组把1只「闪刀姬」怪兽特殊召唤。","You can target 1 other card you control; excavate the top 3 cards of your Deck, and if you do, you can add 1 excavated ""Sky Striker"" card to your hand, also shuffle the rest into the Deck, then, if you excavated a ""Sky Striker"" card, send the targeted card to the GY. If this card in the Field Zone is sent to the GY by a card effect: You can Special Summon 1 ""Sky Striker Ace"" monster from your Deck. You can only use each effect of ""Sky Striker Airspace - Area Zero"" once per turn."
card.50720316.name,元素英雄 影雾女郎,Elemental HERO Shadow Mist
card.50720316.types,[怪兽|效果] 战士/暗,[Monster|Effect] Warrior/DARK
card.50720316.desc,"这个卡名的①②的效果1回合只能有1次使用其中任意1个。
①：这张卡特殊召唤的场合才能发动。从卡组把1张「变化」速攻魔法卡加入手卡。
②：这张卡被送去墓地的场合才能发动。从卡组把「元素英雄 影雾女郎」以外的1只「英雄」怪兽加入手卡。","If this card is Special Summoned: You can add 1 ""Change"" Quick-Play Spell Card from your Deck to your hand. If this card is sent to the GY: You can add 1 ""HERO"" monster from your Deck to your hand, except ""Elemental HERO Shadow Mist"". You can only use 1 ""Elemental HERO Shadow Mist"" effect per turn, and only once that turn."
card.50954680.name,水晶翼同调龙,Crystal Wing Synchro Dragon
card.50954680.types,[怪兽|效果|同调] 龙/风,[Monster|Effect|Synchro] Dragon/WIND
card.50954680.desc,"调整＋调整以外的同调怪兽1只以上
①：1回合1次，这张卡以外的怪兽的效果发动时才能发动。那个发动无效并破坏。这个效果破坏怪兽的场合，这张卡的攻击力直到回合结束时上升这个效果破坏的怪兽的原本攻击力数值。
②：这张卡和5星以上的对方怪兽进行战斗的伤害计算时发动。这张卡的攻击力只在那次伤害计算时上升进行战斗的对方怪兽的攻击力数值。","1 Tuner + 1+ non-Tuner Synchro Monsters
Once per turn, when another monster's effect is activated (Quick Effect): You can negate the activation, and if you do, destroy that monster, and if you do that, this card gains ATK equal to the destroyed monster's original ATK until the end of this turn. If this card battles an opponent's Level 5 or higher monster, during damage calculation: This card gains ATK equal to the current ATK of the opponent's monster it is battling during that damage calculation only."
card.55063751.name,海龟坏兽 加美西耶勒,"Gameciel, the Sea Turtle Kaiju"
card.55063751.types,[怪兽|效果] 水/水,[Monster|Effect] 水/WATER
card.55063751.desc,"①：这张卡可以把对方场上1只怪兽解放，从手卡往对方场上攻击表示特殊召唤。
②：对方场上有「坏兽」怪兽存在的场合，这张卡可以从手卡攻击表示特殊召唤。
③：「坏兽」怪兽在自己场上只能有1只表侧表示存在。
④：对方把「海龟坏兽 加美西耶勒」以外的魔法·陷阱·怪兽的效果发动时，把自己·对方场上2个坏兽指示物取除才能发动。那个发动无效并除外。","You can Special Summon this card (from your hand) to your opponent's field in Attack Position, by Tributing 1 monster they control. If your opponent controls a ""Kaiju"" monster, you can Special Summon this card (from your hand) in Attack Position. You can only control 1 ""Kaiju"" monster. When your opponent activates a card or effect, except ""Gameciel, the Sea Turtle Kaiju"" (Quick Effect): You can remove 2 Kaiju Counters from anywhere on the field; negate the activation, and if you do, banish that card."
card.55171412.name,元素英雄 水波新宇侠,Elemental HERO Aqua Neos
card.55171412.types,[怪兽|效果|融合] 战士/水,[Monster|Effect|Fusion] Warrior/WATER
card.55171412.desc,"「元素英雄 新宇侠」＋「新空间侠·水波海豚」
让自己场上的上记的卡回到卡组·额外卡组的场合才能从额外卡组特殊召唤。
①：1回合1次，丢弃1张手卡才能发动。对方手卡随机1张破坏。
②：自己·对方的结束阶段发动。这张卡回到额外卡组。","""Elemental HERO Neos"" + ""Neo-Spacian Aqua Dolphin""
Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) Once per turn: You can discard 1 card; destroy 1 random card in your opponent's hand. During the End Phase: Shuffle this card into the Extra Deck."
card.56733747.name,元素英雄 闪光新宇翼侠,Elemental HERO Shining Neos Wingman
card.56733747.types,[怪兽|效果|融合] 战士/光,[Monster|Effect|Fusion] Warrior/LIGHT
card.56733747.desc,"「元素英雄 新宇侠」＋「翼侠」融合怪兽
这张卡不用融合召唤不能特殊召唤。这个卡名的①的效果1回合只能使用1次。
①：这张卡特殊召唤的场合才能发动。把最多有场上的怪兽的属性种类数量的对方场上的卡破坏。
②：场上的这张卡攻击力上升自己墓地的怪兽数量×300，不会被效果破坏。
③：这张卡战斗破坏怪兽的场合发动。给与对方那只怪兽的原本攻击力数值的伤害。","""Elemental HERO Neos"" + 1 ""Wingman"" Fusion Monster
Must be Fusion Summoned. Gains 300 ATK for each monster in your GY, also cannot be destroyed by card effects. If this card is Special Summoned: You can destroy cards your opponent controls up to the number of different Attributes among the monsters on the field. You can only use this effect of ""Elemental HERO Shining Neos Wingman"" once per turn. If this card destroys a monster by battle: Inflict damage to your opponent equal to that monster's original ATK."
card.56741506.name,闪刀姬-阿泽莉娅·节制,Sky Striker Ace - Azalea Temperance
card.56741506.types,[怪兽|效果|连接] 机械/暗,[Monster|Effect|Link] Machine/DARK
card.56741506.desc,"包含连接怪兽的怪兽2只以上
这张卡不用连接召唤不能从额外卡组特殊召唤。这个卡名的①的效果1回合只能使用1次。
①：这张卡特殊召唤的场合，从自己的手卡·墓地把1张魔法卡除外，以对方场上1只攻击力2500以下的怪兽为对象才能发动。那只表侧表示怪兽当作装备魔法卡使用给这张卡装备。
②：这张卡被战斗破坏时才能发动。从自己的手卡·墓地把这张卡以外的1只「闪刀」怪兽特殊召唤。","2+ monsters, including a Link Monster
Must first be Link Summoned. If this card is Special Summoned: You can banish 1 Spell from your hand or GY, then target 1 monster your opponent controls with 2500 or less ATK; equip that face-up monster to this card as an Equip Spell. You can only use this effect of ""Sky Striker Ace - Azalea Temperance"" once per turn. When this card is destroyed by battle: You can Special Summon 1 other ""Sky Striker"" monster from your hand or GY."
card.58004362.name,特异英雄 十字人,Xtra HERO Cross Crusader
card.58004362.types,[怪兽|效果|连接] 战士/暗,[Monster|Effect|Link] Warrior/DARK
card.58004362.desc,"战士族怪兽2只
这个卡名的①②的效果1回合各能使用1次，这张卡的效果发动的回合，自己不是「英雄」怪兽不能特殊召唤。
①：这张卡连接召唤的场合，以自己墓地1只「命运英雄」怪兽为对象才能发动。那只怪兽特殊召唤。
②：把自己场上1只「命运英雄」怪兽解放才能发动。和解放的怪兽卡名不同的1只「英雄」怪兽从卡组加入手卡。","2 Warrior monsters
If this card is Link Summoned: You can target 1 ""Destiny HERO"" monster in your GY; Special Summon it. You can Tribute 1 ""Destiny HERO"" monster; add 1 ""HERO"" monster with a different name from your Deck to your hand. You can only use each effect of ""Xtra HERO Cross Crusader"" once per turn, also you cannot Special Summon monsters the turn you activate either of this card's effects, except ""HERO"" monsters."
card.58481572.name,假面英雄 暗爪,Masked HERO Dark Law
card.58481572.types,[怪兽|效果|融合] 战士/暗,[Monster|Effect|Fusion] Warrior/DARK
card.58481572.desc,"这张卡用「假面变化」的效果才能特殊召唤。
①：只要这张卡在怪兽区域存在，被送去对方墓地的卡不去墓地而除外。
②：1回合1次，对方在抽卡阶段以外从卡组把卡加入手卡的场合才能发动。对方手卡随机1张除外。","Must be Special Summoned by ""Mask Change"". Any card sent to your opponent's GY is banished instead. Once per turn, if your opponent adds a card(s) from their Deck to their hand (except during the Draw Phase or the Damage Step): You can banish 1 random card from your opponent's hand."
card.59822133.name,青眼精灵龙,Blue-Eyes Spirit Dragon
card.59822133.types,[怪兽|效果|同调] 龙/光,[Monster|Effect|Synchro] Dragon/LIGHT
card.59822133.desc,"调整＋调整以外的「青眼」怪兽1只以上
①：只要这张卡在怪兽区域存在，双方不能把2只以上的怪兽同时特殊召唤。
②：1回合1次，墓地的卡的效果发动时才能发动。那个发动无效。
③：自己·对方回合，把同调召唤的这张卡解放才能发动。从额外卡组把「青眼精灵龙」以外的1只龙族·光属性同调怪兽守备表示特殊召唤。这个效果特殊召唤的怪兽在这个回合的结束阶段破坏。","1 Tuner + 1 or more non-Tuner ""Blue-Eyes"" monsters
Neither player can Special Summon 2 or more monsters at the same time. Once per turn, during either player's turn, when an effect of a card in the Graveyard is activated: You can negate the activation. During either player's turn: You can Tribute this Synchro Summoned card; Special Summon 1 LIGHT Dragon-Type Synchro Monster from your Extra Deck in Defense Position, except ""Blue-Eyes Spirit Dragon"", but destroy it during the End Phase of this turn."
card.60461804.name,命运英雄 毁灭凤凰人,Destiny HERO - Destroyer Phoenix Enforcer
card.60461804.types,[怪兽|效果|融合] 战士/暗,[Monster|Effect|Fusion] Warrior/DARK
